                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3186,                 2.9719,                  1.639,                0.00366,                0.86842,                0.27165,                0.16196,                 1.1162,                 3.3842,                  1.636,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.1534,                 2.4806,                 1.4656,                0.00361,                0.84211,                0.50973,                0.31037,                  1.145,                 3.3053,                 1.7234,             0.00021242,             0.00021242,             0.00021242
                      3,                 1.1069,                 1.7797,                 1.4155,                 0.0037,                0.81579,                0.37843,                0.19868,                 1.3023,                 3.2707,                 1.7283,              0.0003202,              0.0003202,              0.0003202
                      4,                  1.113,                 1.5069,                 1.4187,                0.83408,                0.50105,                0.65435,                0.40373,                   1.18,                 2.8493,                 1.6183,             0.00042335,             0.00042335,             0.00042335
                      5,                  1.083,                 1.4149,                 1.3806,                0.76439,                0.29328,                0.59991,                0.29087,                 1.4595,                 2.8078,                 2.0791,             0.00052189,             0.00052189,             0.00052189
                      6,                 1.0435,                 1.3913,                 1.3798,                0.62919,                0.49726,                0.57421,                0.31538,                 1.4843,                 2.6331,                 2.1489,             0.00061581,             0.00061581,             0.00061581
                      7,                 1.0386,                 1.3945,                 1.3629,                0.63881,                0.62737,                0.64358,                0.34658,                 1.5835,                 2.3197,                 2.2653,              0.0007051,              0.0007051,              0.0007051
                      8,                 1.1354,                 1.4349,                 1.4315,                0.69695,                0.71447,                0.67459,                0.38101,                 1.5611,                 2.2114,                 2.2037,             0.00078977,             0.00078977,             0.00078977
                      9,                 1.0709,                 1.3452,                 1.3812,                0.70557,                0.68947,                0.64768,                0.34789,                 1.6166,                 2.3471,                 2.2428,             0.00086983,             0.00086983,             0.00086983
                     10,                 1.0535,                 1.3081,                 1.3957,                0.41961,                0.61266,                0.43055,                0.23596,                 1.6624,                 2.5953,                  2.299,             0.00094526,             0.00094526,             0.00094526
                     11,                0.97486,                 1.2327,                 1.2911,                0.53871,                0.30393,                0.34044,                0.16951,                  2.116,                 2.9512,                 2.6241,              0.0010161,              0.0010161,              0.0010161
                     12,                 1.0388,                  1.217,                 1.3069,                0.48512,                0.25789,                0.28165,                0.14966,                 1.9535,                 2.9055,                  2.406,              0.0010823,              0.0010823,              0.0010823
                     13,                0.99329,                 1.2477,                 1.3289,                0.54103,                0.42659,                0.41668,                0.19393,                 1.9483,                 2.7194,                 2.7524,              0.0011438,              0.0011438,              0.0011438
                     14,                 1.0616,                 1.3264,                 1.3926,                0.43342,                0.52914,                0.48435,                0.25345,                 1.5592,                 2.5484,                 2.3986,              0.0012008,              0.0012008,              0.0012008
                     15,                 1.0679,                 1.3196,                 1.3959,                0.59842,                0.53421,                0.54224,                0.29508,                  1.682,                 2.7636,                 2.6137,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0022,                 1.2181,                 1.3263,                0.66476,                0.46316,                0.48652,                0.24785,                 1.6571,                 2.9408,                 2.6968,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.0543,                 1.2292,                 1.3713,                0.54315,                0.50823,                0.50192,                0.25311,                 1.6727,                 3.0276,                 2.4733,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.0153,                 1.1663,                  1.348,                0.40944,                0.56447,                0.55379,                0.25617,                 1.8167,                  3.142,                 2.5351,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.0246,                  1.197,                 1.3609,                0.72991,                0.50154,                0.56201,                0.32403,                 1.6946,                 2.6183,                 2.3539,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.0406,                  1.222,                  1.342,                0.62598,                0.37977,                0.54199,                0.30325,                 1.7095,                 2.7126,                 2.3558,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.0194,                 1.1661,                 1.3677,                0.56816,                0.46316,                0.42427,                0.22898,                 1.7854,                 2.4963,                 2.5538,              0.0010399,              0.0010399,              0.0010399
                     22,                0.99362,                 1.1645,                 1.3238,                0.66538,                0.48026,                0.51254,                0.28597,                 1.8064,                  2.471,                 2.7095,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.0171,                 1.1593,                 1.3821,                0.79881,                 0.4443,                0.49394,                0.29997,                 1.6915,                 3.2596,                 2.5098,             0.00097386,             0.00097386,             0.00097386
                     24,                0.95224,                 1.0536,                 1.3222,                 0.6536,                0.61742,                0.60838,                0.35063,                 1.6571,                  2.394,                 2.3924,             0.00094085,             0.00094085,             0.00094085
                     25,                0.95772,                 1.0485,                 1.2657,                0.73128,                0.58421,                0.63114,                0.36013,                 1.6981,                 2.3292,                 2.4025,             0.00090785,             0.00090785,             0.00090785
                     26,                0.94411,                 0.9859,                 1.2913,                0.70874,                0.50658,                0.58294,                0.30843,                 1.6484,                 2.4409,                  2.332,             0.00087484,             0.00087484,             0.00087484
                     27,                0.94295,                 1.0226,                 1.2978,                0.67602,                0.53158,                0.57783,                0.29242,                  1.787,                  2.425,                 2.4226,             0.00084184,             0.00084184,             0.00084184
                     28,                0.97855,                 1.0334,                 1.3157,                0.77347,                0.68816,                0.72046,                0.42401,                 1.4737,                 1.7632,                 2.1361,             0.00080883,             0.00080883,             0.00080883
                     29,                0.92436,                0.97923,                 1.2534,                0.89123,                0.65553,                0.75373,                0.44073,                 1.4515,                 1.6827,                 2.0253,             0.00077582,             0.00077582,             0.00077582
                     30,                0.97207,                0.93554,                 1.3109,                0.98046,                0.67105,                0.75794,                0.44488,                 1.5163,                 1.7668,                 2.0354,             0.00074282,             0.00074282,             0.00074282
                     31,                  0.878,                 0.9546,                 1.2791,                 0.9484,                0.63111,                0.72857,                0.45109,                 1.5452,                 1.7787,                 2.0515,             0.00070981,             0.00070981,             0.00070981
                     32,                0.91052,                0.96116,                 1.2698,                0.80614,                0.67976,                0.77118,                 0.4749,                 1.3849,                 1.6805,                 1.8739,              0.0006768,              0.0006768,              0.0006768
                     33,                0.92647,                0.97415,                 1.2699,                0.93565,                0.68402,                0.78626,                 0.4877,                 1.3767,                 1.6799,                 1.8469,              0.0006438,              0.0006438,              0.0006438
                     34,                0.84084,                0.87529,                 1.2179,                0.69782,                0.68573,                0.68821,                0.33716,                 1.6233,                 2.1157,                 2.0337,             0.00061079,             0.00061079,             0.00061079
                     35,                0.87074,                0.86415,                 1.2051,                0.68448,                0.66447,                0.66469,                0.36119,                 1.5949,                 2.0105,                 2.0128,             0.00057778,             0.00057778,             0.00057778
                     36,                0.88091,                0.85965,                   1.25,                 0.8257,                0.67334,                0.72095,                0.41573,                 1.4532,                 1.8655,                 1.8827,             0.00054478,             0.00054478,             0.00054478
                     37,                 0.8099,                0.85353,                 1.2267,                0.84426,                0.62675,                0.72121,                0.43302,                 1.4655,                 1.7213,                 1.9138,             0.00051177,             0.00051177,             0.00051177
                     38,                0.79309,                0.81815,                 1.1854,                0.80717,                0.61053,                 0.7172,                0.40812,                 1.4961,                 1.7602,                 1.9817,             0.00047876,             0.00047876,             0.00047876
                     39,                0.76958,                0.79423,                  1.175,                0.79313,                0.58553,                0.70001,                0.40334,                 1.5187,                 1.8269,                 1.9901,             0.00044576,             0.00044576,             0.00044576
                     40,                0.78051,                0.80609,                 1.1641,                0.79468,                0.68816,                0.74578,                0.43234,                 1.4688,                  1.705,                 1.9567,             0.00041275,             0.00041275,             0.00041275
                     41,                0.82225,                 1.4186,                 1.2611,                0.80116,                0.68816,                0.73389,                0.44162,                 1.4528,                 1.6822,                 1.9615,             0.00037974,             0.00037974,             0.00037974
                     42,                0.73069,                 1.1566,                 1.1527,                 0.7181,                0.68953,                0.69672,                0.42679,                 1.5558,                 1.8247,                 2.1042,             0.00034674,             0.00034674,             0.00034674
                     43,                0.66669,                 1.0871,                 1.1346,                0.89859,                0.58289,                0.67099,                0.40286,                 1.5926,                 2.0106,                 2.1947,             0.00031373,             0.00031373,             0.00031373
                     44,                0.67097,                  1.104,                 1.1474,                 0.8754,                0.63051,                0.70239,                0.40376,                 1.5463,                 1.8343,                 2.1847,             0.00028072,             0.00028072,             0.00028072
                     45,                 0.7066,                 1.0331,                 1.1779,                0.80949,                0.66184,                0.72888,                0.42644,                  1.517,                 1.7588,                 2.1031,             0.00024772,             0.00024772,             0.00024772
                     46,                0.61678,                0.93972,                 1.1415,                 0.8874,                 0.7436,                0.79151,                0.46436,                 1.4695,                 1.5408,                 2.0213,             0.00021471,             0.00021471,             0.00021471
                     47,                0.62599,                0.94664,                 1.1485,                0.85955,                0.78441,                0.79545,                0.47645,                 1.4576,                 1.5059,                 1.9949,              0.0001817,              0.0001817,              0.0001817
                     48,                0.58106,                0.90191,                 1.0973,                 0.8198,                0.79079,                0.79672,                0.49142,                 1.4526,                 1.5061,                 1.9652,              0.0001487,              0.0001487,              0.0001487
                     49,                0.55435,                0.85557,                 1.0718,                0.82051,                0.79079,                0.79813,                0.48993,                 1.4449,                 1.5136,                 1.9583,             0.00011569,             0.00011569,             0.00011569
                     50,                0.57412,                0.85725,                 1.1018,                0.85675,                0.75384,                0.80452,                0.49681,                 1.4175,                 1.5038,                 1.9418,             8.2683e-05,             8.2683e-05,             8.2683e-05
